
####################################################################
# 			       TL-WR941ND  System Log 
# Time = 2018-03-14 16:20:09 577731s
# H-Ver = WR941ND v5 00000000 : S-Ver = 3.14.19 Build 130509 Rel.63583n 
# L = 192.168.0.1 : M = 255.255.255.0
# W1 = PPPoE : W = 56.14.111.74 : M = 255.255.255.255 : G = 56.14.111.74
####################################################################

Mar 14 14:26:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:27:13	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:29:08	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:29:23	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:30:31	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:32:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:33:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:33:33	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:34:43	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:34:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:36:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:37:13	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:39:08	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:39:23	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:40:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:41:26	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:43:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:44:44	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:46:39	 DHCP      	INFO   	DHCPS:Recv DISCOVER from AC:38:72:82:FF:C4
Mar 14 14:46:40	 DHCP      	INFO   	DHCPS:Send OFFER with ip 192.168.0.100
Mar 14 14:46:40	 DHCP      	INFO   	DHCPS:Recv REQUEST from AC:38:72:82:FF:C4
Mar 14 14:46:40	 DHCP      	INFO   	DHCPS:Send ACK to 192.168.0.100
Mar 14 14:46:54	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:47:13	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:49:08	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:49:23	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:50:55	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
Mar 14 14:52:12	 DHCP      	INFO   	DHCPS:Recv INFORM from 03:B4:1D:40:9B:CD
Mar 14 14:53:21	 DHCP      	INFO   	DHCPS:Recv INFORM from 61:61:6D:3F:99:1F
